,ensg_id,display_name,atlas_name,function_name,UniprotID
59,ENSG00000018510,AGPS,Intracellular and membrane,Enzyme,O00116
60,ENSG00000019991,HGF,Secreted to blood,Growth factor,P14210
61,ENSG00000021355,SERPINB1,Secreted to blood,NULL,P30740
62,ENSG00000021852,C8B,Secreted to blood,Complement pathway,P07358
63,ENSG00000023318,ERP44,Intracellular and membrane,Other,Q9BS26
64,ENSG00000026103,FAS,Secreted to blood,Receptor,P49327
65,ENSG00000026297,RNASET2,Secreted to blood,Enzyme,O00584
66,ENSG00000026508,CD44,Secreted to blood,Receptor,P16070
67,ENSG00000028137,TNFRSF1B,Secreted to blood,Receptor,P20333
68,ENSG00000029534,ANK1,Intracellular and membrane,No annotated function,P16157
69,ENSG00000029559,IBSP,Secreted in other tissues,Cell adhesion,P21815
70,ENSG00000030582,GRN,Secreted to blood,Cytokine,P28799
71,ENSG00000033011,ALG1,Intracellular and membrane,Enzyme,Q9BT22
72,ENSG00000033100,CHPF2,Intracellular and membrane,Enzyme,Q9P2E5
73,ENSG00000034971,MYOC,Secreted to extracellular matrix,No annotated function,Q99972
74,ENSG00000035862,TIMP2,Secreted to extracellular matrix,Enzyme inhibitor,P16035
75,ENSG00000036530,CYP46A1,Intracellular and membrane,Enzyme,Q9Y6A2
76,ENSG00000037280,FLT4,Secreted to blood,Receptor,P35916
77,ENSG00000037474,NSUN2,Intracellular and membrane,NULL,Q08J23
78,ENSG00000038002,AGA,Intracellular and membrane,Enzyme,P20933
79,ENSG00000038295,TLL1,Secreted to extracellular matrix,Developmental protein,O43897
80,ENSG00000038427,VCAN,Secreted to blood,No annotated function,P13611
81,ENSG00000039537,C6,Secreted to blood,Complement pathway,c("P13671", "P46736", "P56278", "P56277")
82,ENSG00000041982,TNC,Secreted to extracellular matrix,Cell adhesion,P24821
83,ENSG00000042781,USH2A,Intracellular and membrane,Other,O75445
84,ENSG00000042813,ZPBP,Secreted in male reproductive system,No annotated function,Q9BS86
85,ENSG00000042832,TG,Secreted in other tissues,Hormone,P01266
86,ENSG00000042980,ADAM28,Secreted to blood,Enzyme,Q9UKQ2
87,ENSG00000044012,GUCA2B,Secreted to blood,No annotated function,Q16661
88,ENSG00000044524,EPHA3,Intracellular and membrane,Receptor,P29320
89,ENSG00000044574,HSPA5,Intracellular and membrane,Enzyme,P11021
90,ENSG00000047457,CP,Secreted to blood,Transport,P00450
91,ENSG00000047648,ARHGAP6,Intracellular and membrane,Other,O43182
92,ENSG00000048649,RSF1,Intracellular and membrane,Transcription,Q96T23
93,ENSG00000049089,COL9A2,Secreted to extracellular matrix,No annotated function,Q14055
94,ENSG00000049130,KITLG,Intracellular and membrane,Growth factor,P21583
95,ENSG00000049192,ADAMTS6,Secreted to extracellular matrix,Enzyme,Q9UKP5
96,ENSG00000049239,H6PD,Intracellular and membrane,Enzyme,O95479
97,ENSG00000049247,UTS2,Secreted to blood,Hormone,O95399
98,ENSG00000049323,LTBP1,Secreted to extracellular matrix,Other,Q14766
99,ENSG00000049449,RCN1,Intracellular and membrane,No annotated function,Q15293
100,ENSG00000049540,ELN,Secreted to extracellular matrix,No annotated function,P15502
101,ENSG00000049759,NEDD4L,Intracellular and membrane,NULL,Q96PU5
102,ENSG00000049860,HEXB,Intracellular and membrane,Enzyme,P07686
103,ENSG00000050165,DKK3,Secreted in other tissues,Developmental protein,Q9UBP4
104,ENSG00000050344,NFE2L3,Intracellular and membrane,Transcription,Q9Y4A8
105,ENSG00000050555,LAMC3,Secreted to extracellular matrix,Cell adhesion,Q9Y6N6
106,ENSG00000052344,PRSS8,Secreted - unknown location,Enzyme,Q16651
107,ENSG00000053108,FSTL4,Secreted to blood,No annotated function,Q6MZW2
108,ENSG00000053328,METTL24,Secreted - unknown location,Enzyme,Q5JXM2
109,ENSG00000053747,LAMA3,Secreted to extracellular matrix,Cell adhesion,Q16787
110,ENSG00000054803,CBLN4,Secreted in brain,No annotated function,Q9NTU7
111,ENSG00000054938,CHRDL2,Secreted to extracellular matrix,Developmental protein,Q6WN34
112,ENSG00000054983,GALC,Intracellular and membrane,Enzyme,P54803
113,ENSG00000055813,CCDC85A,Intracellular and membrane,No annotated function,Q96PX6
114,ENSG00000055955,ITIH4,Secreted to blood,Acute phase,Q14624
115,ENSG00000055957,ITIH1,Secreted to blood,Enzyme inhibitor,P19827
116,ENSG00000056736,IL17RB,Intracellular and membrane,Receptor,Q9NRM6
117,ENSG00000057593,F7,Secreted to blood,Blood coagulation,P08709
118,ENSG00000057663,ATG5,Intracellular and membrane,Immunity,Q9H1Y0
119,ENSG00000058085,LAMC2,Secreted to extracellular matrix,Cell adhesion,Q13753
120,ENSG00000060718,COL11A1,Secreted to extracellular matrix,No annotated function,P12107
121,ENSG00000061492,WNT8A,Secreted to extracellular matrix,Developmental protein,Q9H1J5
122,ENSG00000062096,ARSF,Secreted in other tissues,Enzyme,P54793
123,ENSG00000063180,CA11,Secreted in brain,No annotated function,c("Q9NS71", "O75493")
124,ENSG00000063660,GPC1,Intracellular and membrane,No annotated function,P35052
125,ENSG00000063761,ADCK1,Secreted - unknown location,Enzyme,Q86TW2
126,ENSG00000064205,CCN5,Secreted to extracellular matrix,Cell adhesion,O76076
127,ENSG00000064601,CTSA,Intracellular and membrane,Enzyme,P10619
128,ENSG00000064703,DDX20,Intracellular and membrane,Enzyme,Q9UHI6
129,ENSG00000064886,CHI3L2,Secreted to blood,Enzyme,Q15782
130,ENSG00000065320,NTN1,Secreted to extracellular matrix,Other,O95631
131,ENSG00000065361,ERBB3,Secreted - unknown location,Receptor,P21860
132,ENSG00000065427,KARS1,Intracellular and membrane,Enzyme,Q15046
133,ENSG00000065485,PDIA5,Intracellular and membrane,Enzyme,Q14554
134,ENSG00000065618,COL17A1,Secreted to extracellular matrix,No annotated function,Q9UMD9
135,ENSG00000065911,MTHFD2,Intracellular and membrane,Enzyme,P13995
136,ENSG00000065978,YBX1,Intracellular and membrane,Transcription,P67809
137,ENSG00000066056,TIE1,Intracellular and membrane,Receptor,P35590
138,ENSG00000066248,NGEF,Intracellular and membrane,Developmental protein,Q8N5V2
139,ENSG00000066468,FGFR2,Secreted - unknown location,Receptor,P21802
140,ENSG00000067182,TNFRSF1A,Secreted to blood,Receptor,P19438
141,ENSG00000067248,DHX29,Intracellular and membrane,Enzyme,Q7Z478
142,ENSG00000067596,DHX8,Intracellular and membrane,Enzyme,Q14562
143,ENSG00000068078,FGFR3,Secreted - unknown location,Receptor,P22607
144,ENSG00000068079,IFI35,Secreted to blood,NULL,P80217
145,ENSG00000068120,COASY,Intracellular and membrane,Enzyme,Q13057
146,ENSG00000068383,INPP5A,Intracellular and membrane,Enzyme,Q14642
147,ENSG00000068912,ERLEC1,Intracellular and membrane,No annotated function,Q96DZ1
148,ENSG00000069206,ADAM7,Intracellular and membrane,No annotated function,Q9H2U9
149,ENSG00000069482,GAL,Secreted to blood,Hormone,c("P22466", "Q8N6F7")
150,ENSG00000069702,TGFBR3,Secreted to blood,Receptor,Q03167
151,ENSG00000069764,PLA2G10,Secreted in other tissues,Enzyme,O15496
152,ENSG00000069998,HDHD5,Intracellular and membrane,No annotated function,Q9BXW7
153,ENSG00000070031,SCT,Secreted to blood,Hormone,P09683
154,ENSG00000070081,NUCB2,Secreted to blood,No annotated function,P80303
155,ENSG00000070193,FGF10,Secreted in other tissues,Growth factor,O15520
156,ENSG00000070388,FGF22,Secreted in other tissues,Growth factor,Q9HCT0
157,ENSG00000070404,FSTL3,Secreted in other tissues,Transcription,O95633
158,ENSG00000070731,ST6GALNAC2,Intracellular and membrane,Enzyme,Q9UJ37
159,ENSG00000070886,EPHA8,Intracellular and membrane,Receptor,P29322
160,ENSG00000071073,MGAT4A,Secreted to blood,Enzyme,Q9UM21
161,ENSG00000071246,VASH1,Secreted to blood,Enzyme,Q7L8A9
162,ENSG00000071537,SEL1L,Intracellular and membrane,Other,Q9UBV2
163,ENSG00000071677,PRLH,Secreted in brain,Hormone,P81277
164,ENSG00000071889,FAM3A,Secreted to blood,No annotated function,P98173
165,ENSG00000072042,RDH11,Intracellular and membrane,Enzyme,Q8TC12
166,ENSG00000072080,SPP2,Secreted to blood,No annotated function,Q13103
167,ENSG00000072201,LNX1,Intracellular and membrane,Enzyme,Q8TBB1
168,ENSG00000072274,TFRC,Secreted to blood,Receptor,P02786
169,ENSG00000072682,P4HA2,Intracellular and membrane,Enzyme,O15460
170,ENSG00000073008,PVR,Secreted - unknown location,Receptor,P15151
171,ENSG00000073067,CYP2W1,Intracellular and membrane,Enzyme,Q8TAV3
172,ENSG00000073169,SELENOO,Intracellular and membrane,Enzyme,Q9BVL4
173,ENSG00000073737,DHRS9,Intracellular and membrane,Enzyme,Q9BPW9
174,ENSG00000073754,CD5L,Secreted to blood,Immunity,O43866
175,ENSG00000073756,PTGS2,Intracellular and membrane,Enzyme,P35354
176,ENSG00000073849,ST6GAL1,Secreted to blood,Enzyme,P15907
177,ENSG00000074527,NTN4,Secreted to extracellular matrix,No annotated function,Q9HB63
178,ENSG00000074660,SCARF1,Intracellular and membrane,Receptor,Q14162
179,ENSG00000074842,MYDGF,Secreted to blood,Developmental protein,Q969H8
180,ENSG00000075035,WSCD2,Intracellular and membrane,No annotated function,Q2TBF2
181,ENSG00000075213,SEMA3A,Secreted in other tissues,Developmental protein,Q14563
182,ENSG00000075223,SEMA3C,Secreted in other tissues,Developmental protein,Q99985
183,ENSG00000075275,CELSR1,Intracellular and membrane,NULL,Q9NYQ6
184,ENSG00000075290,WNT8B,Secreted to extracellular matrix,Developmental protein,Q93098
185,ENSG00000075388,FGF4,Secreted in other tissues,Growth factor,P08620
186,ENSG00000075891,PAX2,Intracellular and membrane,Developmental protein,Q02962
187,ENSG00000076555,ACACB,Intracellular and membrane,Enzyme,O00763
188,ENSG00000076716,GPC4,Intracellular and membrane,No annotated function,O75487
189,ENSG00000077238,IL4R,Secreted to blood,Receptor,P24394
190,ENSG00000077942,FBLN1,Secreted to extracellular matrix,Other,P23142
191,ENSG00000077984,CST7,Secreted to blood,Enzyme inhibitor,O76096
192,ENSG00000078070,MCCC1,Intracellular and membrane,Enzyme,Q96RQ3
193,ENSG00000078098,FAP,Secreted to blood,Cell adhesion,Q12884
194,ENSG00000078246,TULP3,Intracellular and membrane,Developmental protein,O75386
195,ENSG00000078401,EDN1,Secreted to blood,Other,P05305
196,ENSG00000078579,FGF20,Secreted in other tissues,Growth factor,Q9NP95
197,ENSG00000078725,BRINP1,Intracellular and membrane,Other,O60477
198,ENSG00000078808,SDF4,Intracellular and membrane,Other,Q9BRK5
199,ENSG00000078898,BPIFB2,Secreted in other tissues,No annotated function,Q8N4F0
200,ENSG00000079101,CLUL1,Secreted in other tissues,No annotated function,Q15846
201,ENSG00000079150,FKBP7,Intracellular and membrane,Enzyme,Q9Y680
202,ENSG00000079385,CEACAM1,Intracellular and membrane,No annotated function,P13688
203,ENSG00000079557,AFM,Secreted to blood,Transport,P43652
204,ENSG00000079689,SCGN,Intracellular and membrane,No annotated function,O76038
205,ENSG00000080573,COL5A3,Secreted to extracellular matrix,No annotated function,P25940
206,ENSG00000080618,CPB2,Secreted to blood,Blood coagulation,Q96IY4
207,ENSG00000080910,CFHR2,Secreted to blood,Complement pathway,P36980
208,ENSG00000081041,CXCL2,Secreted to blood,Chemokine,P19875
209,ENSG00000081051,AFP,Secreted to blood,No annotated function,P02771
210,ENSG00000081052,COL4A4,Secreted to extracellular matrix,No annotated function,P53420
211,ENSG00000081148,IMPG2,Secreted in other tissues,NULL,Q9BZV3
212,ENSG00000081237,PTPRC,Intracellular and membrane,No annotated function,P08575
213,ENSG00000081842,PCDHA6,Secreted in brain,Cell adhesion,Q9UN73
214,ENSG00000081913,PHLPP1,Intracellular and membrane,Enzyme,O60346
215,ENSG00000081985,IL12RB2,Intracellular and membrane,Receptor,Q99665
216,ENSG00000082196,C1QTNF3,Secreted to blood,Complement pathway,Q9BXJ4
217,ENSG00000082293,COL19A1,Secreted to extracellular matrix,Developmental protein,Q14993
218,ENSG00000082641,NFE2L1,Intracellular and membrane,Transcription,Q14494
219,ENSG00000083123,BCKDHB,Intracellular and membrane,Enzyme,P21953
220,ENSG00000083444,PLOD1,Intracellular and membrane,Enzyme,Q02809
221,ENSG00000083535,PIBF1,Secreted to blood,Immunity,Q8WXW3
222,ENSG00000083720,OXCT1,Intracellular and membrane,Enzyme,P55809
223,ENSG00000083782,EPYC,Secreted to extracellular matrix,No annotated function,Q99645
224,ENSG00000083857,FAT1,Intracellular and membrane,Cell adhesion,Q14517
225,ENSG00000084090,STARD7,Intracellular and membrane,No annotated function,Q9NQZ5
226,ENSG00000084092,NOA1,Intracellular and membrane,Other,Q8NC60
227,ENSG00000084636,COL16A1,Secreted to extracellular matrix,Cell adhesion,Q07092
228,ENSG00000084674,APOB,Secreted to blood,Apolipoprotein,P04114
229,ENSG00000085063,CD59,Intracellular and membrane,No annotated function,P13987
230,ENSG00000085265,FCN1,Secreted to blood,Immunity,O00602
231,ENSG00000085465,OVGP1,Secreted in female reproductive system,Other,Q12889
232,ENSG00000085514,PILRA,Secreted to blood,Receptor,Q9UKJ1
233,ENSG00000085552,IGSF9,Intracellular and membrane,Developmental protein,Q9P2J2
234,ENSG00000085741,WNT11,Secreted to extracellular matrix,Developmental protein,O96014
235,ENSG00000085832,EPS15,Intracellular and membrane,Transport,P42566
236,ENSG00000086062,B4GALT1,Intracellular and membrane,Enzyme,P15291
237,ENSG00000086289,EPDR1,Secreted in other tissues,No annotated function,Q9UM22
238,ENSG00000086619,ERO1B,Intracellular and membrane,Transport,Q86YB8
239,ENSG00000086730,LAT2,Intracellular and membrane,Immunity,Q9UHI5
240,ENSG00000087085,ACHE,Intracellular and membrane,Enzyme,Q04844
241,ENSG00000087116,ADAMTS2,Secreted to extracellular matrix,Enzyme,O95450
242,ENSG00000087128,TMPRSS11E,Secreted in other tissues,Enzyme,Q9UL52
243,ENSG00000087237,CETP,Secreted to blood,Transport,P11597
244,ENSG00000087245,MMP2,Secreted to extracellular matrix,Enzyme,P08253
245,ENSG00000087301,TXNDC16,Secreted to blood,No annotated function,Q9P2K2
246,ENSG00000087303,NID2,Secreted to extracellular matrix,Cell adhesion,Q14112
247,ENSG00000087460,GNAS,Intracellular and membrane,Other,c("O95467", "P63092", "P84996", "Q5JWF2")
248,ENSG00000087494,PTHLH,Secreted in other tissues,Hormone,P12272
249,ENSG00000088053,GP6,Intracellular and membrane,Blood coagulation,Q9HCN6
250,ENSG00000088298,EDEM2,Intracellular and membrane,Other,Q9BV94
251,ENSG00000088782,DEFB127,Secreted in male reproductive system,Defense,Q9H1M4
252,ENSG00000088812,ATRN,Secreted to blood,Receptor,O75882
253,ENSG00000088827,SIGLEC1,Intracellular and membrane,Cell adhesion,Q9BZZ2
254,ENSG00000088882,CPXM1,Secreted in other tissues,Enzyme,Q96SM3
255,ENSG00000088926,F11,Secreted to blood,Blood coagulation,P03951
256,ENSG00000089127,OAS1,Intracellular and membrane,Immunity,P00973
257,ENSG00000089199,CHGB,Intracellular and membrane,No annotated function,P05060
258,ENSG00000089248,ERP29,Intracellular and membrane,No annotated function,P30040
259,ENSG00000089356,FXYD3,Intracellular and membrane,Transport,Q14802
260,ENSG00000089597,GANAB,Intracellular and membrane,Enzyme,Q14697
261,ENSG00000089692,LAG3,Intracellular and membrane,No annotated function,P18627
262,ENSG00000089902,RCOR1,Intracellular and membrane,Transcription,Q9UKL0
263,ENSG00000090006,LTBP4,Secreted to extracellular matrix,Other,Q8N2S1
264,ENSG00000090376,IRAK3,Intracellular and membrane,Enzyme,Q9Y616
265,ENSG00000090382,LYZ,Secreted to blood,Enzyme,P61626
266,ENSG00000090512,FETUB,Secreted to blood,Enzyme inhibitor,Q9UGM5
267,ENSG00000090520,DNAJB11,Intracellular and membrane,Other,Q9UBS4
268,ENSG00000090530,P3H2,Intracellular and membrane,Enzyme,Q8IVL5
269,ENSG00000090534,THPO,Secreted to blood,Cytokine,P40225
270,ENSG00000090539,CHRD,Secreted in other tissues,Developmental protein,Q9H2X0
271,ENSG00000090554,FLT3LG,Secreted to blood,Cytokine,P49771
272,ENSG00000090581,GNPTG,Intracellular and membrane,No annotated function,Q9UJJ9
273,ENSG00000090659,CD209,Intracellular and membrane,Receptor,Q9NNX6
274,ENSG00000091128,LAMB4,Secreted to extracellular matrix,Cell adhesion,A4D0S4
275,ENSG00000091129,NRCAM,Secreted in brain,Cell adhesion,Q92823
276,ENSG00000091136,LAMB1,Secreted to extracellular matrix,Cell adhesion,P07942
277,ENSG00000091181,IL5RA,Intracellular and membrane,Receptor,Q01344
278,ENSG00000091513,TF,Secreted to blood,Transport,P13726
279,ENSG00000091583,APOH,Secreted to blood,Apolipoprotein,P02749
280,ENSG00000091704,CPA1,Secreted to digestive system,Enzyme,P15085
281,ENSG00000091879,ANGPT2,Secreted to blood,Developmental protein,O15123
282,ENSG00000091986,CCDC80,Secreted to extracellular matrix,No annotated function,Q76M96
283,ENSG00000092009,CMA1,Secreted to blood,Enzyme,P23946
284,ENSG00000092330,TINF2,Intracellular and membrane,No annotated function,Q9BSI4
285,ENSG00000092758,COL9A3,Secreted to extracellular matrix,No annotated function,Q14050
286,ENSG00000092969,TGFB2,Secreted to blood,Growth factor,P61812
287,ENSG00000093072,ADA2,Secreted to blood,Enzyme,Q9NZK5
288,ENSG00000093134,VNN3,Secreted to blood,Enzyme,None
289,ENSG00000094880,CDC23,Intracellular and membrane,Other,Q9UJX2
290,ENSG00000095110,NXPE1,Intracellular and membrane,No annotated function,Q8N323
291,ENSG00000095303,PTGS1,Intracellular and membrane,Enzyme,P23219
292,ENSG00000095539,SEMA4G,Intracellular and membrane,Developmental protein,Q9NTN9
293,ENSG00000095587,TLL2,Secreted - unknown location,Developmental protein,Q9Y6L7
294,ENSG00000095713,CRTAC1,Secreted to extracellular matrix,No annotated function,Q9NQ79
295,ENSG00000095752,IL11,Secreted to blood,Interleukin,P20809
296,ENSG00000095917,TPSD1,Intracellular and membrane,Enzyme,Q9BZJ3
297,ENSG00000095970,TREM2,Secreted in brain,Receptor,Q9NZC2
298,ENSG00000096006,CRISP3,Secreted in other tissues,No annotated function,P54108
299,ENSG00000096088,PGC,Secreted to digestive system,Enzyme,P20142
300,ENSG00000096384,HSP90AB1,Intracellular and membrane,Other,P08238
301,ENSG00000096395,MLN,Secreted to blood,Hormone,P0DMT0
302,ENSG00000096996,IL12RB1,Intracellular and membrane,Receptor,P42701
303,ENSG00000099139,PCSK5,Secreted to blood,Enzyme,Q92824
304,ENSG00000099250,NRP1,Secreted in other tissues,Receptor,O14786
305,ENSG00000099338,CATSPERG,Secreted in male reproductive system,Developmental protein,Q6ZRH7
306,ENSG00000099617,EFNA2,Intracellular and membrane,No annotated function,O43921
307,ENSG00000099721,AMELY,Secreted in other tissues,Other,Q99218
308,ENSG00000099769,IGFALS,Secreted to blood,Cell adhesion,P35858
309,ENSG00000099834,CDHR5,Intracellular and membrane,Other,Q9HBB8
310,ENSG00000099840,IZUMO4,Secreted in male reproductive system,No annotated function,Q1ZYL8
311,ENSG00000099937,SERPIND1,Secreted to blood,Blood coagulation,P05546
312,ENSG00000099953,MMP11,Secreted to extracellular matrix,Enzyme,P24347
313,ENSG00000099985,OSM,Secreted to blood,Cytokine,P13725
314,ENSG00000099998,GGT5,Intracellular and membrane,Enzyme,P36269
315,ENSG00000100031,GGT1,Intracellular and membrane,Enzyme,P19440
316,ENSG00000100060,MFNG,Intracellular and membrane,Developmental protein,O00587
317,ENSG00000100078,PLA2G3,Secreted to blood,Enzyme,Q9NZ20
318,ENSG00000100097,LGALS1,Secreted to blood,Other,P09382
319,ENSG00000100147,CCDC134,Secreted to blood,No annotated function,Q9H6E4
320,ENSG00000100201,DDX17,Intracellular and membrane,Transcription,Q92841
321,ENSG00000100234,TIMP3,Secreted to extracellular matrix,Enzyme inhibitor,P35625
322,ENSG00000100299,ARSA,Intracellular and membrane,Enzyme,P15289
323,ENSG00000100311,PDGFB,Secreted to blood,Growth factor,P01127
324,ENSG00000100312,ACR,Secreted in male reproductive system,Enzyme,P10323
325,ENSG00000100336,APOL4,Secreted to blood,Apolipoprotein,Q9BPW4
326,ENSG00000100342,APOL1,Secreted to blood,Apolipoprotein,O14791
327,ENSG00000100350,FOXRED2,Intracellular and membrane,Enzyme,Q8IWF2
328,ENSG00000100399,CHADL,Secreted to extracellular matrix,No annotated function,Q6NUI6
329,ENSG00000100448,CTSG,Intracellular and membrane,Enzyme,P08311
330,ENSG00000100450,GZMH,Secreted to blood,Enzyme,P20718
331,ENSG00000100453,GZMB,Secreted to blood,Enzyme,P10144
332,ENSG00000100473,COCH,Secreted in other tissues,Other,O43405
333,ENSG00000100593,ISM2,Secreted in female reproductive system,No annotated function,Q6H9L7
334,ENSG00000100600,LGMN,Intracellular and membrane,Enzyme,Q99538
335,ENSG00000100601,ALKBH1,Intracellular and membrane,Enzyme,Q13686
336,ENSG00000100604,CHGA,Intracellular and membrane,Defense,P10645
337,ENSG00000100665,SERPINA4,Secreted to blood,Enzyme inhibitor,P29622
338,ENSG00000100767,PAPLN,Secreted - unknown location,Enzyme inhibitor,O95428
339,ENSG00000100802,C14orf93,Secreted to blood,No annotated function,Q9H972
340,ENSG00000100979,PLTP,Secreted to blood,Transport,P55058
341,ENSG00000100985,MMP9,Secreted to blood,Enzyme,P14780
342,ENSG00000101017,CD40,Secreted to blood,Receptor,P25942
343,ENSG00000101074,R3HDML,Secreted - unknown location,Enzyme inhibitor,Q9H3Y0
344,ENSG00000101144,BMP7,Secreted to blood,Cytokine,P18075
345,ENSG00000101160,CTSZ,Intracellular and membrane,Enzyme,Q9UBR2
346,ENSG00000101200,AVP,Secreted to blood,Hormone,P01185
347,ENSG00000101203,COL20A1,Secreted to extracellular matrix,No annotated function,Q9P218
348,ENSG00000101230,ISM1,Secreted in other tissues,No annotated function,B1AKI9
349,ENSG00000101280,ANGPT4,Secreted to blood,Developmental protein,Q9Y264
350,ENSG00000101282,RSPO4,Secreted in other tissues,Other,Q2I0M5
351,ENSG00000101327,PDYN,Secreted in brain,Neuropeptide,P01213
352,ENSG00000101346,POFUT1,Intracellular and membrane,Enzyme,Q9H488
353,ENSG00000101405,OXT,Secreted to blood,Hormone,P01178
354,ENSG00000101425,BPI,Secreted to blood,Defense,P17213
355,ENSG00000101435,CST9L,Secreted in male reproductive system,Enzyme inhibitor,Q9H4G1
356,ENSG00000101439,CST3,Secreted to blood,Enzyme inhibitor,P01034
357,ENSG00000101440,ASIP,Secreted to blood,No annotated function,P42127
358,ENSG00000101441,CST4,Secreted to digestive system,Enzyme inhibitor,P01036
359,ENSG00000101443,WFDC2,Secreted in other tissues,Enzyme inhibitor,Q14508
360,ENSG00000101446,SPINT3,Secreted in male reproductive system,Enzyme inhibitor,P49223
361,ENSG00000101448,EPPIN,Secreted in male reproductive system,Enzyme inhibitor,O95925
362,ENSG00000101670,LIPG,Secreted to blood,Enzyme,P07098
363,ENSG00000101680,LAMA1,Secreted to extracellular matrix,Cell adhesion,P25391
364,ENSG00000101825,MXRA5,Secreted to extracellular matrix,No annotated function,Q9NR99
365,ENSG00000101938,CHRDL1,Secreted in other tissues,Developmental protein,Q9BU40
366,ENSG00000101955,SRPX,Secreted - unknown location,Cell adhesion,P78539
367,ENSG00000101981,F9,Secreted to blood,Blood coagulation,P00740
